AGENT PROPERTIES,Archivos en Carpeta Raiz Agente,BUS,Estado Servicio,FILIAL,FINAL PATH,Fecha de Creacion,GLUSTER PATH,Grupo,HOST,IP,NOMBRE DEL SERVICIO DEL FORWARDER,NOTAS FORWARDER,Nombre,Notas,Notas IP Puerto,Notas servicio,PHYSICAL PATH,PUERTO,Peso,Propietario,REMOTE HOST,REMOTE PORT,RUTA FORWARDER,Ruta Agente,Ruta Servicio,SEVERITY,Servicio,Tipo,Tipo de Agente,HASH(0x106fb41a7c0)
No,,ithvvwteclrap01,UNKNOWN - -> - enm_mex_1,MEXICO,No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path,Desconocida,No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado,Desconocido,,ithvvwteclrap01,No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado,,ENM_MEX_1,,,,No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado,62112 - 62124,0.1,Desconocido,No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado,No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado,BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R1_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R1_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R2_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R2_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R3_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R3_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R4A_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R4B_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R6A_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R6B_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R9A_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R9B_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R9C_VTEMIP_forwarder.xml,BUS\BUS_1\opt\UMP\AGENTES/ENM_MEX_1,BUS\BUS_1\etc\systemd\system/agt_enm_mex_1.service,,agt_enm_mex_1.service,carpeta,CORBA,
No,,ithvvwteclrap01,UNKNOWN - -> - enm_mex_r1_mlrca - UNKNOWN - -> - enm_mex_r1,MEXICO,No contiene - final path - No contiene - final path,Desconocida,No encontrado - No encontrado,Desconocido,,ithvvwteclrap01 - ithvvwteclrap01 - ithvvwteclrap01,No encontrado - No encontrado,,ENM_MEX_R1,,, - ,No encontrado - No encontrado,62131 - 63132 - 62131,0.1,Desconocido,No encontrado - No encontrado,No encontrado - No encontrado,BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R1_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R1_VTEMIP_forwarder.xml,BUS\BUS_1\opt\UMP\AGENTES/ENM_MEX_R1,BUS\BUS_1\etc\systemd\system/agt_enm_mex_r1_mlrca.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r1.service,,agt_enm_mex_r1_mlrca.service agt_enm_mex_r1.service,carpeta,CORBA,
No,,ithvvwteclrap01,UNKNOWN - -> - enm_mex_r2_mlrca - UNKNOWN - -> - enm_mex_r2,MEXICO,No contiene - final path - No contiene - final path,Desconocida,No encontrado - No encontrado,Desconocido,,,No encontrado - No encontrado,,ENM_MEX_R2,,No se pudo abrir los archivos crb_agent.xml o no se encontraron IPs y Puertos. Se le asigna la IP del Local host, - ,No encontrado - No encontrado,Desconocido,0.1,Desconocido,No encontrado - No encontrado,No encontrado - No encontrado,BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R2_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R2_VTEMIP_forwarder.xml,BUS\BUS_1\opt\UMP\AGENTES/ENM_MEX_R2,BUS\BUS_1\etc\systemd\system/agt_enm_mex_r2_mlrca.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r2.service,,agt_enm_mex_r2_mlrca.service agt_enm_mex_r2.service,carpeta,CORBA,
No,,ithvvwteclrap01,UNKNOWN - -> - enm_mex_r3 - UNKNOWN - -> - enm_mex_r1_mlrca - UNKNOWN - -> - enm_mex_1 - UNKNOWN - -> - enm_mex_r2_mlrca - UNKNOWN - -> - enm_mex_r1 - UNKNOWN - -> - enm_mex_r2 - UNKNOWN - -> - enm_mex_r3_mlrca,MEXICO,No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path,Desconocida,No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado,Desconocido,,,No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado,,ENM_MEX_R2_DESARROLLO,,No se pudo abrir los archivos crb_agent.xml o no se encontraron IPs y Puertos. Se le asigna la IP del Local host, -  -  -  -  -  - ,No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado,Desconocido,0.1,Desconocido,No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado,No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado,BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R1_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R1_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R2_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R2_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R3_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R3_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R4A_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R4B_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R6A_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R6B_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R9A_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R9B_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R9C_VTEMIP_forwarder.xml,BUS\BUS_1\opt\UMP\AGENTES/ENM_MEX_R2_DESARROLLO, - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r3.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r1_mlrca.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_1.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r2_mlrca.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r1.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r2.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r3_mlrca.service,,agt_enm_mex_r3.service agt_enm_mex_r1_mlrca.service agt_enm_mex_1.service agt_enm_mex_r2_mlrca.service agt_enm_mex_r1.service agt_enm_mex_r2.service agt_enm_mex_r3_mlrca.service,carpeta,CORBA,
No,,ithvvwteclrap01,UNKNOWN - -> - enm_mex_r3 - UNKNOWN - -> - enm_mex_r1_mlrca - UNKNOWN - -> - enm_mex_1 - UNKNOWN - -> - enm_mex_r2_mlrca - UNKNOWN - -> - enm_mex_r1 - UNKNOWN - -> - enm_mex_r2 - UNKNOWN - -> - enm_mex_r3_mlrca,MEXICO,No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path,Desconocida,No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado,Desconocido,,,No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado,,ENM_MEX_R2_old,,No se pudo abrir los archivos crb_agent.xml o no se encontraron IPs y Puertos. Se le asigna la IP del Local host, -  -  -  -  -  - ,No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado,Desconocido,0.1,Desconocido,No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado,No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado,BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R1_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R1_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R2_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R2_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R3_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R3_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R4A_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R4B_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R6A_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R6B_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R9A_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R9B_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R9C_VTEMIP_forwarder.xml,BUS\BUS_1\opt\UMP\AGENTES/ENM_MEX_R2_old, - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r3.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r1_mlrca.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_1.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r2_mlrca.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r1.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r2.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r3_mlrca.service,,agt_enm_mex_r3.service agt_enm_mex_r1_mlrca.service agt_enm_mex_1.service agt_enm_mex_r2_mlrca.service agt_enm_mex_r1.service agt_enm_mex_r2.service agt_enm_mex_r3_mlrca.service,carpeta,CORBA,
No,,ithvvwteclrap01,UNKNOWN - -> - enm_mex_r3 - UNKNOWN - -> - enm_mex_r3_mlrca,MEXICO,No contiene - final path - No contiene - final path,Desconocida,No encontrado - No encontrado,Desconocido,,,No encontrado - No encontrado,,ENM_MEX_R3,,No se pudo abrir los archivos crb_agent.xml o no se encontraron IPs y Puertos. Se le asigna la IP del Local host, - ,No encontrado - No encontrado,Desconocido,0.1,Desconocido,No encontrado - No encontrado,No encontrado - No encontrado,BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R3_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R3_VTEMIP_forwarder.xml,BUS\BUS_1\opt\UMP\AGENTES/ENM_MEX_R3,BUS\BUS_1\etc\systemd\system/agt_enm_mex_r3.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r3_mlrca.service,,agt_enm_mex_r3.service agt_enm_mex_r3_mlrca.service,carpeta,CORBA,
No,,ithvvwteclrap01,UNKNOWN - -> - enm_mex_r3 - UNKNOWN - -> - enm_mex_r1_mlrca - UNKNOWN - -> - enm_mex_1 - UNKNOWN - -> - enm_mex_r2_mlrca - UNKNOWN - -> - enm_mex_r1 - UNKNOWN - -> - enm_mex_r2 - UNKNOWN - -> - enm_mex_r3_mlrca,MEXICO,No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path,Desconocida,No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado,Desconocido,,,No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado,,ENM_MEX_R3_DESARROLLO,,No se pudo abrir los archivos crb_agent.xml o no se encontraron IPs y Puertos. Se le asigna la IP del Local host, -  -  -  -  -  - ,No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado,Desconocido,0.1,Desconocido,No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado,No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado,BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R1_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R1_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R2_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R2_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R3_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R3_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R4A_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R4B_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R6A_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R6B_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R9A_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R9B_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R9C_VTEMIP_forwarder.xml,BUS\BUS_1\opt\UMP\AGENTES/ENM_MEX_R3_DESARROLLO, - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r3.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r1_mlrca.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_1.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r2_mlrca.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r1.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r2.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r3_mlrca.service,,agt_enm_mex_r3.service agt_enm_mex_r1_mlrca.service agt_enm_mex_1.service agt_enm_mex_r2_mlrca.service agt_enm_mex_r1.service agt_enm_mex_r2.service agt_enm_mex_r3_mlrca.service,carpeta,CORBA,
No,,ithvvwteclrap02,UNKNOWN - -> - enm_mex_r3 - UNKNOWN - -> - enm_mex_r1_mlrca - UNKNOWN - -> - enm_mex_1 - UNKNOWN - -> - enm_mex_r2_mlrca - UNKNOWN - -> - enm_mex_r1 - UNKNOWN - -> - enm_mex_r2 - UNKNOWN - -> - enm_mex_r3_mlrca,MEXICO,No contiene - final path,Desconocida,No encontrado,Desconocido,,,No encontrado,,ENM_MEX_R4A,,No se pudo abrir los archivos crb_agent.xml o no se encontraron IPs y Puertos. Se le asigna la IP del Local host, -  -  -  -  -  - ,No encontrado,Desconocido,0.1,Desconocido,No encontrado,No encontrado,BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R4A_VTEMIP_forwarder.xml,BUS\BUS_1\opt\UMP\AGENTES/ENM_MEX_R4A, - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r3.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r1_mlrca.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_1.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r2_mlrca.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r1.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r2.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r3_mlrca.service,,agt_enm_mex_r3.service agt_enm_mex_r1_mlrca.service agt_enm_mex_1.service agt_enm_mex_r2_mlrca.service agt_enm_mex_r1.service agt_enm_mex_r2.service agt_enm_mex_r3_mlrca.service,carpeta,CORBA,
No,,ithvvwteclrap01,UNKNOWN - -> - enm_mex_r3 - UNKNOWN - -> - enm_mex_r1_mlrca - UNKNOWN - -> - enm_mex_1 - UNKNOWN - -> - enm_mex_r2_mlrca - UNKNOWN - -> - enm_mex_r1 - UNKNOWN - -> - enm_mex_r2 - UNKNOWN - -> - enm_mex_r3_mlrca,MEXICO,No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path,Desconocida,No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado,Desconocido,,,No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado,,ENM_MEX_R4A_DESARROLLO,,No se pudo abrir los archivos crb_agent.xml o no se encontraron IPs y Puertos. Se le asigna la IP del Local host, -  -  -  -  -  - ,No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado,Desconocido,0.1,Desconocido,No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado,No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado,BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R1_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R1_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R2_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R2_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R3_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R3_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R4A_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R4B_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R6A_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R6B_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R9A_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R9B_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R9C_VTEMIP_forwarder.xml,BUS\BUS_1\opt\UMP\AGENTES/ENM_MEX_R4A_DESARROLLO, - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r3.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r1_mlrca.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_1.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r2_mlrca.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r1.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r2.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r3_mlrca.service,,agt_enm_mex_r3.service agt_enm_mex_r1_mlrca.service agt_enm_mex_1.service agt_enm_mex_r2_mlrca.service agt_enm_mex_r1.service agt_enm_mex_r2.service agt_enm_mex_r3_mlrca.service,carpeta,CORBA,
No,,ithvvwteclrap02,UNKNOWN - -> - enm_mex_r3 - UNKNOWN - -> - enm_mex_r1_mlrca - UNKNOWN - -> - enm_mex_1 - UNKNOWN - -> - enm_mex_r2_mlrca - UNKNOWN - -> - enm_mex_r1 - UNKNOWN - -> - enm_mex_r2 - UNKNOWN - -> - enm_mex_r3_mlrca,MEXICO,No contiene - final path,Desconocida,No encontrado,Desconocido,,,No encontrado,,ENM_MEX_R4B,,No se pudo abrir los archivos crb_agent.xml o no se encontraron IPs y Puertos. Se le asigna la IP del Local host, -  -  -  -  -  - ,No encontrado,Desconocido,0.1,Desconocido,No encontrado,No encontrado,BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R4B_VTEMIP_forwarder.xml,BUS\BUS_1\opt\UMP\AGENTES/ENM_MEX_R4B, - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r3.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r1_mlrca.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_1.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r2_mlrca.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r1.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r2.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r3_mlrca.service,,agt_enm_mex_r3.service agt_enm_mex_r1_mlrca.service agt_enm_mex_1.service agt_enm_mex_r2_mlrca.service agt_enm_mex_r1.service agt_enm_mex_r2.service agt_enm_mex_r3_mlrca.service,carpeta,CORBA,
